time,day,area,year,air_temp
6,1,srimangal,1982,284.1590896
9,1,srimangal,1982,287.5151959
12,1,srimangal,1982,294.6347
15,1,srimangal,1982,297.9909104
18,1,srimangal,1982,295.6177615
21,1,srimangal,1982,292.2615942
0,2,srimangal,1982,289.888449
3,2,srimangal,1982,286.5322996
6,2,srimangal,1982,284.9091186
9,2,srimangal,1982,288.1584507
12,2,srimangal,1982,295.0514485
15,2,srimangal,1982,298.3008814
18,2,srimangal,1982,296.003234
21,2,srimangal,1982,292.7538428
0,3,srimangal,1982,290.456199
3,3,srimangal,1982,287.2068251
6,3,srimangal,1982,283.7290784
9,3,srimangal,1982,287.1264383
12,3,srimangal,1982,294.3334562
15,3,srimangal,1982,297.7309216
18,3,srimangal,1982,295.3286016
21,3,srimangal,1982,291.9311799
0,4,srimangal,1982,289.5288637
3,4,srimangal,1982,286.1314601
6,4,srimangal,1982,284.6491061
9,4,srimangal,1982,287.9445452
12,4,srimangal,1982,294.9353525
15,4,srimangal,1982,298.2308939
18,4,srimangal,1982,295.9006436
21,4,srimangal,1982,292.6051445
0,5,srimangal,1982,290.2748978
3,5,srimangal,1982,286.9794163
6,5,srimangal,1982,285.2390863
9,5,srimangal,1982,288.607326
12,5,srimangal,1982,295.7525694
15,5,srimangal,1982,299.1209137
18,5,srimangal,1982,296.739185
21,5,srimangal,1982,293.3708841
0,6,srimangal,1982,290.9891592
3,6,srimangal,1982,287.6208762
6,6,srimangal,1982,287.179112
9,6,srimangal,1982,290.452711
12,6,srimangal,1982,297.3971874
15,6,srimangal,1982,300.670888
18,6,srimangal,1982,298.3560811
21,6,srimangal,1982,295.0824227
0,7,srimangal,1982,292.7676194
3,7,srimangal,1982,289.4939784
6,7,srimangal,1982,286.9592746
9,7,srimangal,1982,289.6334822
12,7,srimangal,1982,295.3064348
15,7,srimangal,1982,297.9807254
18,7,srimangal,1982,296.0897564
21,7,srimangal,1982,293.4155002
0,8,srimangal,1982,291.5245342
3,8,srimangal,1982,288.8502922
6,8,srimangal,1982,285.5590218
9,8,srimangal,1982,289.1650767
12,8,srimangal,1982,296.8148114
15,8,srimangal,1982,300.4209782
18,8,srimangal,1982,297.8710872
21,8,srimangal,1982,294.2649667
0,9,srimangal,1982,291.7150797
3,9,srimangal,1982,288.1089784
6,9,srimangal,1982,285.6990304
9,9,srimangal,1982,289.2735383
12,9,srimangal,1982,296.8563507
15,9,srimangal,1982,300.4309696
18,9,srimangal,1982,297.9033859
21,9,srimangal,1982,294.3288129
0,10,srimangal,1982,291.8012331
3,10,srimangal,1982,288.2266791
6,10,srimangal,1982,286.5091173
9,10,srimangal,1982,289.7633027
12,10,srimangal,1982,296.6665963
15,10,srimangal,1982,299.9208827
18,10,srimangal,1982,297.6198034
21,10,srimangal,1982,294.3655588
0,11,srimangal,1982,292.0644831
3,11,srimangal,1982,288.8102558
6,11,srimangal,1982,285.9490343
9,11,srimangal,1982,289.5089822
12,11,srimangal,1982,297.0609073
15,11,srimangal,1982,300.6209657
18,11,srimangal,1982,298.1036776
21,11,srimangal,1982,294.543665
0,12,srimangal,1982,292.0263808
3,12,srimangal,1982,288.4663872
6,12,srimangal,1982,289.7692476
9,12,srimangal,1982,292.5429493
12,12,srimangal,1982,298.4269646
15,12,srimangal,1982,301.2007524
18,12,srimangal,1982,299.2394298
21,12,srimangal,1982,296.4656776
0,13,srimangal,1982,294.504358
3,13,srimangal,1982,291.7306207
6,13,srimangal,1982,286.3491429
9,13,srimangal,1982,289.5086877
12,13,srimangal,1982,296.2112143
15,13,srimangal,1982,299.3708571
18,13,srimangal,1982,297.1366995
21,13,srimangal,1982,293.9770973
0,14,srimangal,1982,291.7429433
3,14,srimangal,1982,288.5833579
6,14,srimangal,1982,285.0990225
9,14,srimangal,1982,288.7026507
12,14,srimangal,1982,296.3472375
15,14,srimangal,1982,299.9509775
18,14,srimangal,1982,297.4028024
21,14,srimangal,1982,293.7991087
0,15,srimangal,1982,291.2509376
3,15,srimangal,1982,287.6472631
6,15,srimangal,1982,284.6390166
9,15,srimangal,1982,288.2644849
12,15,srimangal,1982,295.9554025
15,15,srimangal,1982,299.5809834
18,15,srimangal,1982,297.0173649
21,15,srimangal,1982,293.3918306
0,16,srimangal,1982,290.828216
3,16,srimangal,1982,287.202701
